City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,21.29,87,100,7.03,PN,1728613084
1,ilulissat,69.2167,-51.1,-1.99,43,46,1.03,GL,1728613084
2,lepsy,46.235,78.9456,17.3,35,100,2.88,KZ,1728613085
3,bethel,41.3712,-73.414,9.05,69,0,3.09,US,1728613085
4,black forest,39.0131,-104.7008,16.55,29,0,3.6,US,1728613085
5,sisimiut,66.9395,-53.6735,1.87,64,13,3.01,GL,1728613085
6,punta arenas,-53.15,-70.9167,5.06,75,75,9.77,CL,1728613086
7,mont-dore,-22.2833,166.5833,24.07,62,0,5.8,NC,1728613086
8,albany,42.6001,-73.9662,8.58,66,4,2.24,US,1728613086
9,waitangi,-43.9535,-176.5597,11.57,69,80,0.89,NZ,1728613086
10,port mathurin,-19.6833,63.4167,22.31,79,100,10.56,MU,1728613086
11,yellowknife,62.456,-114.3525,6.29,87,75,4.63,CA,1728613087
12,vorgashor,67.5833,63.95,-10.4,98,64,0.78,RU,1728613087
13,wailua homesteads,22.0669,-159.378,27.44,85,20,5.66,US,1728613087
14,hermanus,-34.4187,19.2345,14.13,79,100,2.23,ZA,1728613087
15,port elizabeth,-33.918,25.5701,15.17,90,0,5.14,ZA,1728613088
16,pimentel,-6.8367,-79.9342,17.16,88,75,8.75,PE,1728613088
17,edinburgh of the seven seas,-37.0676,-12.3116,8.8,87,91,23.58,SH,1728613088
18,la passe,45.5549,-0.8967,13.29,85,64,0.83,FR,1728613088
19,savelugu,9.6244,-0.8253,24.03,91,35,1.51,GH,1728613088
20,hamilton,39.1834,-84.5333,13.57,73,0,0.0,US,1728613065
21,la'ie,21.6477,-157.9253,29.98,81,48,2.24,US,1728613089
22,puerto natales,-51.7236,-72.4875,3.78,89,100,4.7,CL,1728613090
23,port-aux-francais,-49.35,70.2167,2.69,81,97,13.04,TF,1728613090
24,jamestown,42.097,-79.2353,5.8,93,0,0.45,US,1728613090
25,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,46,0,7.0,RU,1728613090
26,timbuktu,16.7735,-3.0074,34.65,22,100,2.86,ML,1728613090
27,ust-nera,64.5667,143.2,-3.26,74,82,1.71,RU,1728613091
28,ribeira grande,38.5167,-28.7,19.32,80,100,7.15,PT,1728613091
29,bilibino,68.0546,166.4372,-10.98,94,69,0.4,RU,1728613091
30,coracora,-15.0333,-73.7833,11.84,35,12,0.35,PE,1728613091
31,blackmans bay,-43.0167,147.3167,15.29,50,19,3.58,AU,1728613091
32,iqaluit,63.7506,-68.5145,0.85,86,75,3.09,CA,1728613092
33,korla,41.7597,86.1469,16.09,37,30,1.94,CN,1728613092
34,santa luzia,-19.7697,-43.8514,22.1,86,0,2.57,BR,1728613092
35,ushuaia,-54.8,-68.3,2.81,87,75,1.54,AR,1728613092
36,hithadhoo,-0.6,73.0833,28.06,75,91,4.9,MV,1728613093
37,villa ojo de agua,-29.5,-63.6938,15.04,81,77,2.26,AR,1728613093
38,revda,56.801,59.9303,-6.3,92,100,5.43,RU,1728613093
39,cestos city,5.46,-9.5828,25.27,87,99,4.48,LR,1728613093
40,mugia,43.1041,-9.2179,11.62,78,100,3.42,ES,1728613093
41,qeshm,26.9581,56.2719,28.96,69,7,1.28,IR,1728613094
42,colonia,50.9333,6.95,9.98,93,40,2.06,DE,1728613094
43,lincheng,19.9078,109.6858,26.92,74,90,3.9,CN,1728613094
44,olonkinbyen,70.9221,-8.7187,-3.13,92,100,20.83,SJ,1728613095
45,georgetown,5.4112,100.3354,28.96,89,20,1.03,MY,1728613095
46,minas de marcona,-15.2119,-75.1103,12.0,86,65,6.64,PE,1728613096
47,hawaiian paradise park,19.5933,-154.9731,27.15,76,0,3.6,US,1728613096
48,anadyr,64.75,177.4833,-1.72,79,40,5.0,RU,1728612915
49,longyearbyen,78.2186,15.6401,2.91,75,75,6.69,SJ,1728613096
50,xai-xai,-25.0519,33.6442,17.71,86,0,2.68,MZ,1728613096
51,east london,-33.0153,27.9116,18.08,78,99,6.55,ZA,1728613097
52,maintirano,-18.0667,44.0167,24.85,73,14,3.19,MG,1728613097
53,north bay,46.3168,-79.4663,7.01,93,20,3.09,CA,1728613097
54,tiksi,71.6872,128.8694,-5.19,88,96,2.1,RU,1728613098
55,invercargill,-46.4,168.35,13.9,68,70,4.92,NZ,1728613098
56,nar'yan-mar,67.6713,53.087,-2.74,63,100,8.18,RU,1728613098
57,grytviken,-54.2811,-36.5092,-0.12,97,100,2.15,GS,1728613098
58,tual,-5.6667,132.75,27.73,79,71,6.79,ID,1728613099
59,margaret river,-33.95,115.0667,21.36,58,100,4.62,AU,1728612803
